,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
25,25,425.0,1.1548800000014125e-05,1.2407400000000734e-05,1.7379399999981614e-05,5.804999999980964e-06,7.908399999934091e-06,8.110199999862288e-06,9.35530000006679e-06,5.919599999941738e-06,7.510899999942921e-06,1.2712099999987459e-05,1.6292599999871983e-05,2.1487100000001646e-05,1.011619999985669e-05,1.2808099999972455e-05,1.9896600000066657e-05,1.1777299999948809e-05,1.250569999996287e-05,2.405319999994049e-05,8.948699999962173e-06,7.742699999937485e-06
26,26,671.5,0.03799999999999997,0.052000000000000025,0.03200000000000003,0.03400000000000006,0.04,0.03,0.04400000000000006,0.03,0.04799999999999997,0.027999999999999973,0.04,0.03400000000000006,0.04,0.027999999999999973,0.03599999999999994,0.03,0.04200000000000003,0.03200000000000003,0.024000000000000056,0.03400000000000006
27,27,666.0,0.024000000000000056,0.027999999999999973,0.027999999999999973,0.04,0.03799999999999997,0.025999999999999943,0.025999999999999943,0.024000000000000056,0.02200000000000003,0.04200000000000003,0.03200000000000003,0.03799999999999997,0.04200000000000003,0.025999999999999943,0.03799999999999997,0.024000000000000056,0.03,0.03400000000000006,0.04,0.03400000000000006
28,28,707.5,0.07599999999999994,0.07200000000000002,0.09799999999999998,0.055999999999999946,0.09200000000000003,0.08,0.09599999999999995,0.06599999999999995,0.09200000000000003,0.09799999999999998,0.07200000000000002,0.08,0.07200000000000002,0.07,0.06599999999999995,0.09599999999999995,0.1,0.09799999999999998,0.07200000000000002,0.08400000000000006
29,29,255.5,5.4121999998812956e-06,8.12029999991637e-06,5.651999999969348e-06,6.302599999941094e-06,6.294100000019398e-06,5.401399999982459e-06,7.141300000057527e-06,5.924399999912566e-06,9.769299999931036e-06,7.329499999997324e-06,5.868699999922455e-06,7.44710000006421e-06,6.008800000074643e-06,8.4742999999321e-06,1.2517600000023776e-05,6.387799999885147e-06,0.0020000000000000282,8.454099999966047e-06,5.401599999999007e-06,1.1592599999943332e-05
30,30,555.0,0.0040000000000000565,0.005999999999999943,0.0040000000000000565,0.005999999999999943,0.005999999999999943,5.4099999999834836e-06,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,0.01,0.0040000000000000565,0.0040000000000000565,0.007999999999999972,0.007999999999999972,0.0020000000000000282,0.0020000000000000282
31,31,744.0,0.544,0.596,0.552,0.64,0.628,0.514,0.5760000000000001,0.574,0.586,0.598,0.57,0.602,0.5760000000000001,0.568,0.5920000000000001,0.584,0.564,0.5920000000000001,0.536,0.616
32,32,267.0,6.7226999999547846e-06,1.140259999999671e-05,1.0842699999926708e-05,7.062699999949018e-06,5.795699999850967e-06,7.025099999964369e-06,6.822199999874101e-06,9.012900000016088e-06,9.380199999924343e-06,1.5587599999946633e-05,6.489099999953396e-06,5.4224000000147044e-06,5.457599999942886e-06,8.47199999995496e-06,5.737299999992729e-06,5.700299999915615e-06,1.1614599999916209e-05,7.52009999999359e-06,7.422900000051414e-06,6.727899999958708e-06
33,33,279.0,5.406699999923603e-06,7.835399999862602e-06,6.2697999999272726e-06,1.1106999999981327e-05,7.101699999907396e-06,7.823899999976903e-06,9.762199999983067e-06,7.74789999994141e-06,7.017999999874291e-06,5.730099999965432e-06,6.930099999920003e-06,5.467699999996967e-06,7.087099999978364e-06,6.604999999950678e-06,6.600300000059178e-06,5.442100000010441e-06,1.30500000000211e-05,1.2198799999936228e-05,9.263399999923649e-06,5.405099999933327e-06
34,34,267.5,8.905299999923954e-06,5.715699999910839e-06,6.464800000003379e-06,8.185499999910917e-06,6.951199999889468e-06,1.0284800000022187e-05,6.87790000000632e-06,5.543799999969679e-06,5.399899999929403e-06,9.489799999897741e-06,7.081600000020671e-06,6.4537000000086666e-06,0.0020000000000000282,8.825899999891363e-06,5.793800000049032e-06,5.567200000058392e-06,5.442100000010441e-06,7.898499999896558e-06,8.510899999976119e-06,8.121900000048754e-06
35,35,404.5,1.1883300000050668e-05,5.481599999939135e-06,5.604199999993398e-06,0.0020000000000000282,1.0709399999910829e-05,9.317399999986264e-06,8.522699999957695e-06,0.0020000000000000282,9.524299999981167e-06,0.0020000000000000282,5.947699999921952e-06,9.71620000001394e-06,9.063800000035372e-06,6.497999999908189e-06,0.005999999999999943,0.0040000000000000565,6.1574000000064185e-06,0.0020000000000000282,7.521900000000414e-06,0.0020000000000000282
36,36,257.0,5.489799999907063e-06,6.9155999999281906e-06,5.574000000052593e-06,8.366400000028306e-06,7.186600000039789e-06,9.68790000001718e-06,6.4661000000398874e-06,1.382419999998774e-05,7.775400000014088e-06,8.661899999964363e-06,6.6262999999366915e-06,5.848800000052279e-06,7.272200000016938e-06,1.1390599999998584e-05,5.404799999979559e-06,1.048499999996011e-05,5.403299999926503e-06,6.004399999994803e-06,5.45499999986987e-06,7.652000000035742e-06
37,37,639.0,0.024000000000000056,0.01799999999999997,0.015999999999999945,0.025999999999999943,0.024000000000000056,0.015999999999999945,0.01799999999999997,0.01799999999999997,0.02,0.005999999999999943,0.027999999999999973,0.025999999999999943,0.02,0.005999999999999943,0.02200000000000003,0.03200000000000003,0.01799999999999997,0.01799999999999997,0.01799999999999997,0.03
