,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
21,21,545.0,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,9.802699999994501e-06,0.0040000000000000565,0.0020000000000000282,9.812499999952706e-06,0.0020000000000000282,8.31049999987954e-06,0.01,0.0020000000000000282,9.177700000009282e-06,0.0020000000000000282,0.0040000000000000565,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282
22,22,255.0,1.038919999999166e-05,8.256499999959032e-06,7.500999999905389e-06,5.513699999966093e-06,5.449899999945273e-06,9.069599999946832e-06,8.640299999882472e-06,6.027699999862079e-06,9.296499999891239e-06,7.219900000023926e-06,6.0776999998779504e-06,1.0140999999919132e-05,7.72609999998508e-06,5.473899999941523e-06,6.165199999941251e-06,6.283999999965318e-06,5.401699999936227e-06,5.975599999885617e-06,9.861999999998262e-06,7.082699999898523e-06
23,23,190.0,9.358599999984562e-06,5.4036999999595995e-06,6.154399999900307e-06,5.402099999969323e-06,6.654000000025917e-06,5.425899999949024e-06,7.82979999996769e-06,5.400099999945951e-06,7.255699999859644e-06,1.0246300000034126e-05,7.354199999980438e-06,7.742599999858157e-06,5.740699999989829e-06,6.123799999926404e-06,6.10839999993118e-06,5.859900000046991e-06,5.434699999966597e-06,6.010599999939359e-06,5.4842000000121515e-06,7.229099999932486e-06
24,24,339.0,0.0020000000000000282,0.0020000000000000282,5.416799999977684e-06,8.862199999981612e-06,5.436499999973421e-06,7.541800000012699e-06,0.0020000000000000282,0.0020000000000000282,0.0020000000000000282,5.6299999999964716e-06,5.49469999995722e-06,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,6.777099999908387e-06,5.770799999993414e-06,6.904800000029354e-06,7.306999999912023e-06,5.593499999889673e-06,9.751599999958672e-06
25,25,393.0,1.165529999994419e-05,1.196849999999472e-05,1.5666199999913033e-05,5.591400000071189e-06,7.822299999986627e-06,7.3602999999877736e-06,8.806599999928722e-06,5.826700000000073e-06,7.745299999868393e-06,1.1649399999953402e-05,1.532699999998499e-05,2.0860000000055833e-05,8.730599999893229e-06,1.2712500000020555e-05,1.9613999999990028e-05,9.777300000024525e-06,7.801999999941246e-06,1.5340099999860967e-05,8.886800000027506e-06,6.469199999941111e-06
26,26,673.0,0.04200000000000003,0.052000000000000025,0.03200000000000003,0.03400000000000006,0.04200000000000003,0.03,0.04400000000000006,0.03,0.04799999999999997,0.027999999999999973,0.04,0.03400000000000006,0.04,0.027999999999999973,0.03599999999999994,0.03400000000000006,0.04200000000000003,0.03400000000000006,0.025999999999999943,0.03400000000000006
27,27,666.0,0.027999999999999973,0.03200000000000003,0.03,0.04400000000000006,0.04,0.027999999999999973,0.03,0.025999999999999943,0.024000000000000056,0.04200000000000003,0.03,0.03799999999999997,0.04400000000000006,0.025999999999999943,0.04,0.027999999999999973,0.03,0.03400000000000006,0.04,0.03400000000000006
28,28,710.0,0.08200000000000003,0.08,0.10400000000000005,0.06200000000000003,0.08799999999999997,0.08799999999999997,0.10400000000000005,0.06599999999999995,0.09599999999999995,0.09599999999999995,0.07400000000000005,0.08799999999999997,0.07400000000000005,0.07400000000000005,0.06799999999999998,0.10599999999999994,0.10599999999999994,0.09799999999999998,0.07599999999999994,0.08200000000000003
29,29,278.0,5.474799999944935e-06,1.175990000007232e-05,6.481599999972332e-06,5.665399999941201e-06,6.322899999844367e-06,5.399999999866623e-06,9.031900000024961e-06,0.0020000000000000282,7.649100000008958e-06,5.6571999999732725e-06,0.0020000000000000282,6.708899999949836e-06,6.6182999999853106e-06,8.39009999992868e-06,5.769800000052783e-06,6.01619999997638e-06,0.0020000000000000282,8.209100000016179e-06,5.4036999999595995e-06,8.48229999988348e-06
30,30,606.5,0.012000000000000028,0.014000000000000058,0.0040000000000000565,0.007999999999999972,0.012000000000000028,0.0040000000000000565,0.005999999999999943,0.005999999999999943,0.0040000000000000565,0.0040000000000000565,0.005999999999999943,0.012000000000000028,0.0040000000000000565,0.014000000000000058,0.01,0.005999999999999943,0.015999999999999945,0.01,0.012000000000000028,0.005999999999999943
31,31,760.0,0.73,0.738,0.736,0.794,0.7759999999999999,0.69,0.706,0.7659999999999999,0.7440000000000001,0.768,0.746,0.754,0.754,0.7240000000000001,0.746,0.738,0.726,0.742,0.7020000000000001,0.764
32,32,289.0,6.721200000043837e-06,1.018310000006295e-05,1.3405099999914683e-05,6.196500000044125e-06,5.540500000051907e-06,6.435799999877645e-06,6.501700000001165e-06,9.534099999939372e-06,8.106100000020432e-06,1.1907799999875123e-05,6.141500000040878e-06,5.453200000005154e-06,5.455299999965746e-06,8.610099999941667e-06,7.499400000057221e-06,6.313999999889575e-06,1.575180000003229e-05,8.71329999995396e-06,6.306500000050619e-06,7.773300000053496e-06
33,33,257.0,5.405799999920191e-06,9.538900000052309e-06,6.330999999875075e-06,1.0664200000007895e-05,7.1477999999558505e-06,7.6276000000063956e-06,1.2920199999939541e-05,8.058699999935471e-06,6.317899999999099e-06,6.264900000019224e-06,5.940100000003668e-06,5.452899999909278e-06,6.622000000078287e-06,6.156200000049239e-06,6.304999999997563e-06,5.446499999948174e-06,1.1071899999990364e-05,1.2885499999981676e-05,7.9606999999271e-06,5.409899999904155e-06
34,34,319.5,0.0020000000000000282,5.723299999971232e-06,8.029999999905613e-06,9.342500000002474e-06,7.27879999999459e-06,1.0858599999892249e-05,6.820699999963154e-06,5.493799999953808e-06,0.0020000000000000282,8.42520000006175e-06,7.301799999908099e-06,6.242399999933923e-06,0.0020000000000000282,1.0255999999913001e-05,5.74749999998403e-06,5.6075000000532785e-06,5.590899999958765e-06,6.753099999912138e-06,0.0020000000000000282,1.0393700000008721e-05
35,35,399.0,7.62829999999326e-06,5.950500000011516e-06,6.2884999999823775e-06,0.0020000000000000282,1.1428300000062564e-05,9.901599999864175e-06,6.696599999997943e-06,0.0020000000000000282,9.135599999865462e-06,0.0020000000000000282,5.748799999878429e-06,8.421099999935678e-06,8.217699999875094e-06,0.0020000000000000282,0.005999999999999943,0.0040000000000000565,6.592699999856677e-06,0.0020000000000000282,7.5236000000700186e-06,0.0020000000000000282
36,36,224.0,5.53129999985913e-06,6.565599999959204e-06,5.561099999908947e-06,8.230999999909728e-06,7.859100000047192e-06,1.059639999994033e-05,6.640999999945052e-06,1.3413099999866062e-05,6.0010999999349225e-06,7.380799999907594e-06,6.0138999999992395e-06,6.073699999973314e-06,7.256899999958932e-06,8.041299999916873e-06,5.401299999903131e-06,8.918700000037916e-06,5.403099999909955e-06,5.87379999998916e-06,5.452000000047974e-06,7.837099999932207e-06
37,37,636.5,0.02,0.01799999999999997,0.012000000000000028,0.024000000000000056,0.02200000000000003,0.014000000000000058,0.015999999999999945,0.01799999999999997,0.02,0.0040000000000000565,0.027999999999999973,0.025999999999999943,0.02,0.0040000000000000565,0.02200000000000003,0.03200000000000003,0.01799999999999997,0.01799999999999997,0.01799999999999997,0.03
