,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
20,20,276.0,8.351600000082726e-06,7.195099999961485e-06,5.4242999999587485e-06,1.2300699999912013e-05,6.21889999990799e-06,5.775599999964243e-06,6.424599999945712e-06,8.385000000004083e-06,8.029299999918749e-06,5.781499999955031e-06,1.1457399999983408e-05,8.701499999972385e-06,7.525999999984379e-06,5.399699999912855e-06,5.401899999952775e-06,5.729500000057896e-06,1.1374299999999948e-05,1.1738299999990431e-05,9.638399999971625e-06,7.306699999958255e-06
21,21,528.5,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,8.812199999965743e-06,0.0040000000000000565,0.0020000000000000282,8.198400000054562e-06,0.0020000000000000282,8.023199999911412e-06,0.01,0.0040000000000000565,1.145379999996976e-05,0.0020000000000000282,0.0040000000000000565,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282,0.007999999999999972,0.0020000000000000282
22,22,232.0,1.0869299999995974e-05,6.732399999975769e-06,8.331599999849005e-06,5.581300000017109e-06,5.4425000000435375e-06,7.075299999996787e-06,8.241000000026588e-06,5.565700000005336e-06,9.511299999900302e-06,6.746899999967581e-06,6.444499999957998e-06,8.325900000016872e-06,7.5672999999198965e-06,5.4507999999486854e-06,5.941899999868383e-06,6.279199999994489e-06,5.400499999979047e-06,6.100699999933568e-06,8.011599999946384e-06,6.588300000061053e-06
23,23,199.0,8.01319999993666e-06,5.399799999850075e-06,8.413000000047077e-06,5.4031999999892835e-06,7.811199999991913e-06,5.427999999909616e-06,7.248499999974456e-06,5.399899999929403e-06,8.445499999965023e-06,8.53230000004146e-06,6.774599999914699e-06,7.862699999918732e-06,5.831400000033682e-06,5.978299999895853e-06,5.572499999999536e-06,5.826200000029757e-06,5.406199999953287e-06,6.33480000004738e-06,5.466599999977007e-06,8.66569999985245e-06
24,24,316.5,0.0020000000000000282,0.0020000000000000282,5.588599999981625e-06,7.089299999876175e-06,5.496200000010276e-06,9.175299999952814e-06,0.0020000000000000282,0.0020000000000000282,7.496199999934561e-06,5.41499999997086e-06,5.4851999999527834e-06,0.0040000000000000565,0.0020000000000000282,0.0020000000000000282,6.1988000000212655e-06,5.694599999941374e-06,6.2147999999240256e-06,6.83589999994183e-06,5.558199999882163e-06,1.0884099999941554e-05
25,25,362.0,1.1482099999966522e-05,9.777100000007977e-06,1.7044599999991305e-05,5.591899999899397e-06,8.059599999938883e-06,7.276399999938121e-06,8.696699999859448e-06,5.8440999998765616e-06,7.93909999998732e-06,1.3384500000057643e-05,1.582159999998112e-05,1.5378999999882127e-05,7.339200000018309e-06,8.895499999965751e-06,1.3740799999908404e-05,1.1292399999973668e-05,6.676399999889782e-06,9.43530000000692e-06,8.91499999994494e-06,5.488799999966432e-06
26,26,660.5,0.03799999999999997,0.04200000000000003,0.03,0.03,0.03599999999999994,0.03,0.04,0.025999999999999943,0.04400000000000006,0.027999999999999973,0.03799999999999997,0.025999999999999943,0.03400000000000006,0.025999999999999943,0.03400000000000006,0.02,0.03599999999999994,0.025999999999999943,0.02,0.027999999999999973
27,27,672.0,0.03,0.03599999999999994,0.03,0.045999999999999944,0.04,0.03,0.03200000000000003,0.03,0.025999999999999943,0.045999999999999944,0.03400000000000006,0.04400000000000006,0.052000000000000025,0.03,0.04200000000000003,0.03200000000000003,0.03599999999999994,0.04200000000000003,0.04,0.04200000000000003
28,28,710.0,0.08400000000000006,0.08,0.1,0.05799999999999997,0.08799999999999997,0.08400000000000006,0.10200000000000004,0.06200000000000003,0.09400000000000006,0.09400000000000006,0.07200000000000002,0.09,0.07,0.07400000000000005,0.06599999999999995,0.10799999999999997,0.10799999999999997,0.09799999999999998,0.07599999999999994,0.08
29,29,294.0,5.504499999915424e-06,1.115330000004633e-05,6.557899999961592e-06,5.459799999982806e-06,9.530399999988503e-06,5.399899999929403e-06,1.216419999991558e-05,0.0020000000000000282,7.442199999871946e-06,5.4996999999445965e-06,0.0020000000000000282,7.604899999904546e-06,7.201500000064698e-06,6.806800000020985e-06,5.534999999952106e-06,6.663199999934477e-06,0.0020000000000000282,8.649100000042153e-06,5.401899999952775e-06,1.0299799999984316e-05
30,30,615.5,0.02200000000000003,0.01799999999999997,0.01799999999999997,0.01,0.03,0.01,0.014000000000000058,0.01799999999999997,0.012000000000000028,0.01,0.01799999999999997,0.01799999999999997,0.007999999999999972,0.03,0.014000000000000058,0.01,0.024000000000000056,0.01799999999999997,0.02200000000000003,0.012000000000000028
31,31,760.0,0.898,0.882,0.89,0.898,0.9,0.8959999999999999,0.8540000000000001,0.892,0.888,0.8959999999999999,0.89,0.9,0.882,0.89,0.88,0.8959999999999999,0.8759999999999999,0.8859999999999999,0.882,0.8859999999999999
32,32,264.0,6.677100000018754e-06,9.714299999927788e-06,8.61310000004778e-06,6.578699999977289e-06,5.484799999919687e-06,5.795900000009624e-06,7.013700000015888e-06,1.0280900000054771e-05,6.701100000015004e-06,1.244319999997856e-05,6.205099999903041e-06,5.454599999978882e-06,5.480100000028188e-06,7.618300000018507e-06,6.326799999953892e-06,7.7843999999061e-06,1.2227299999949536e-05,7.385899999974299e-06,6.457299999880206e-06,9.83020000006718e-06
33,33,240.0,5.419200000034152e-06,7.231700000005503e-06,6.490699999943672e-06,1.1562799999893513e-05,7.364399999971738e-06,7.962199999980157e-06,1.186489999994933e-05,6.059600000014598e-06,5.912099999960674e-06,7.092999999969152e-06,5.534299999965242e-06,5.429299999946124e-06,6.0017999999217865e-06,5.810499999938657e-06,6.285399999939045e-06,5.445299999990994e-06,1.0206799999963324e-05,1.2192199999958575e-05,7.778199999961544e-06,5.426099999965572e-06
34,34,401.0,0.0020000000000000282,5.949299999912228e-06,1.2175999999897158e-05,0.0020000000000000282,8.76469999994356e-06,8.692599999875483e-06,7.445999999902142e-06,8.143799999942303e-06,0.0020000000000000282,0.0020000000000000282,6.942699999967772e-06,6.664099999937889e-06,0.0020000000000000282,1.1050499999925023e-05,0.0020000000000000282,7.2587999999029765e-06,0.0040000000000000565,6.36569999997505e-06,0.0020000000000000282,7.663899999954538e-06
35,35,494.0,0.0020000000000000282,0.0020000000000000282,8.377999999993336e-06,0.0020000000000000282,1.0068499999960068e-05,1.1063400000068669e-05,1.0773199999931648e-05,0.0020000000000000282,9.233599999873832e-06,0.0020000000000000282,0.0020000000000000282,8.526399999908563e-06,8.009299999969244e-06,0.0020000000000000282,0.007999999999999972,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,5.693199999967647e-06,0.0020000000000000282
36,36,220.0,5.5043000000409845e-06,6.3025000000038745e-06,5.6237999999098065e-06,8.72700000002169e-06,6.959399999999505e-06,8.807499999932134e-06,6.257399999896052e-06,1.4770800000007966e-05,5.684699999903841e-06,7.078000000007023e-06,6.095899999962739e-06,6.046799999950281e-06,7.543999999910511e-06,9.375499999890735e-06,5.400599999916267e-06,8.42749999989678e-06,5.400699999995595e-06,5.750600000027361e-06,5.4303999999660845e-06,1.024000000001024e-05
37,37,625.5,0.027999999999999973,0.01799999999999997,0.014000000000000058,0.025999999999999943,0.024000000000000056,0.014000000000000058,0.02,0.01799999999999997,0.02,0.0040000000000000565,0.03,0.025999999999999943,0.02200000000000003,0.005999999999999943,0.02200000000000003,0.03400000000000006,0.01799999999999997,0.01799999999999997,0.01799999999999997,0.03
