,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
27,27,669.5,0.03,0.03400000000000006,0.03,0.04400000000000006,0.04,0.03,0.03,0.025999999999999943,0.024000000000000056,0.04200000000000003,0.03400000000000006,0.04200000000000003,0.045999999999999944,0.027999999999999973,0.04,0.03,0.03200000000000003,0.03799999999999997,0.04,0.03400000000000006
28,28,707.0,0.07599999999999994,0.07200000000000002,0.09599999999999995,0.05799999999999997,0.09200000000000003,0.08,0.09799999999999998,0.06599999999999995,0.09,0.09599999999999995,0.07200000000000002,0.08400000000000006,0.06599999999999995,0.07,0.05799999999999997,0.09,0.09599999999999995,0.09599999999999995,0.07,0.08200000000000003
29,29,295.5,5.423199999938788e-06,9.600599999970428e-06,8.655900000036354e-06,6.199999999978445e-06,7.262299999979404e-06,5.401199999965911e-06,7.984000000078595e-06,5.714199999999892e-06,8.073399999943831e-06,7.886000000070226e-06,6.312399999899299e-06,9.893000000005258e-06,6.766900000059195e-06,6.2143999998909294e-06,8.43899999992459e-06,7.729199999886305e-06,0.0020000000000000282,8.610400000037544e-06,5.400199999883171e-06,1.1789299999946934e-05
30,30,582.0,0.0040000000000000565,0.012000000000000028,0.0040000000000000565,0.007999999999999972,0.005999999999999943,0.0020000000000000282,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,0.005999999999999943,0.0020000000000000282,0.0020000000000000282,0.01,0.0040000000000000565,0.0040000000000000565,0.007999999999999972,0.007999999999999972,0.0040000000000000565,0.0020000000000000282
31,31,760.0,0.7859999999999999,0.782,0.7879999999999999,0.82,0.816,0.754,0.748,0.7979999999999999,0.802,0.8220000000000001,0.8,0.818,0.7879999999999999,0.7759999999999999,0.792,0.792,0.7659999999999999,0.7979999999999999,0.754,0.8079999999999999
32,32,281.0,6.805099999951381e-06,1.1348499999996874e-05,1.276109999992059e-05,6.306799999862278e-06,5.609199999980774e-06,6.822699999986525e-06,7.957199999850672e-06,9.861499999885837e-06,6.896499999982098e-06,1.2763799999930824e-05,6.133999999917705e-06,5.427299999922752e-06,5.4448999999578975e-06,7.1899999998947805e-06,6.63669999994454e-06,6.221900000014102e-06,1.1946300000005295e-05,8.968700000053786e-06,7.2776999999746295e-06,7.687999999888007e-06
33,33,252.0,5.407200000036027e-06,8.58690000001161e-06,6.67079999999487e-06,9.776099999925237e-06,6.670899999932089e-06,8.027499999911924e-06,1.1924500000048966e-05,6.436199999910741e-06,6.546900000046207e-06,5.77359999994087e-06,6.1162000000081205e-06,5.4654999999570466e-06,6.170399999945175e-06,6.02060000005622e-06,7.178299999992532e-06,5.448499999971545e-06,1.053629999987038e-05,1.2847099999930834e-05,7.384799999954339e-06,5.434299999933501e-06
34,34,287.5,8.727200000038239e-06,6.074699999913946e-06,7.619900000008783e-06,9.670699999873022e-06,7.981499999942798e-06,9.696000000047888e-06,6.545500000072479e-06,5.480800000015051e-06,5.399799999850075e-06,7.818999999926746e-06,7.990200000023151e-06,6.856600000020307e-06,0.0020000000000000282,1.0925200000002633e-05,7.387499999964575e-06,5.540500000051907e-06,5.465200000003279e-06,7.518400000066095e-06,8.649899999966237e-06,8.291499999870667e-06
35,35,418.0,8.353099999851566e-06,6.154900000012731e-06,5.597699999952965e-06,0.0020000000000000282,9.449399999965636e-06,9.087499999935745e-06,8.519000000006826e-06,0.0020000000000000282,9.435799999977234e-06,0.0020000000000000282,6.215899999943986e-06,9.807299999948782e-06,9.315100000009124e-06,0.0020000000000000282,0.005999999999999943,0.0040000000000000565,6.270100000023149e-06,0.0020000000000000282,6.7430999999373855e-06,0.0020000000000000282
36,36,240.0,5.4853999999693315e-06,6.078499999944143e-06,5.583999999885237e-06,7.014899999973067e-06,7.790500000055544e-06,9.797499999990578e-06,6.300099999947406e-06,1.3725799999946276e-05,5.804999999980964e-06,8.908799999858275e-06,6.1496000000715865e-06,5.859399999934567e-06,7.570899999933545e-06,1.0082099999948468e-05,5.401399999982459e-06,8.986299999946822e-06,5.4020000000321035e-06,5.72009999999068e-06,5.6176999999024705e-06,1.0061199999853442e-05
37,37,634.0,0.025999999999999943,0.01799999999999997,0.015999999999999945,0.02200000000000003,0.024000000000000056,0.014000000000000058,0.015999999999999945,0.015999999999999945,0.02,0.005999999999999943,0.027999999999999973,0.025999999999999943,0.02,0.005999999999999943,0.02,0.03200000000000003,0.01799999999999997,0.01799999999999997,0.01799999999999997,0.03
